hip,ra,dec,mag,proper
27072,5.741057,-22.448382,3.0,
27100,5.7462230000000005,-65.73552600000001,3.0,
27288,5.782595,-14.82195,3.0,
27321,5.788079,-51.066514,3.0,
27366,5.795941,-9.669605,3.0,
27530,5.830451,-56.166663,3.0,
27628,5.849329,-35.768309,3.0,
27654,5.855357,-20.879089,3.0,
27890,5.901658,-63.089627,3.0,
27913,5.906386,20.276174,3.0,
27989,5.919529,7.407063000000001,3.0,
28103,5.940082,-14.1677,3.0,
28199,5.958947,-35.28328,3.0,
28328,5.985778,-42.815135,3.0,
28360,5.992149,44.947433,3.0,
28380,5.995351,37.212585,3.0,
28614,6.039722,9.647276,3.0,
28691,6.057601999999998,19.690561,3.0,
28734,6.068671,23.263341,3.0,
28910,6.10259,-14.935254,3.0,
29038,6.126201,14.768472,3.0,
29151,6.149418,2.499692,3.0,
29426,6.198999,14.208765,3.0,
29651,6.247592,-6.274776,3.0,
29655,6.247961,22.506799,3.0,
29807,6.275871,-35.140519,3.0,
30060,6.327052,59.010964,3.0,
30122,6.338553,-30.063367,3.0,
30277,6.368564,-33.4364,3.0,
30324,6.378329,-17.955918,3.0,
30343,6.3826730000000005,22.513586,3.0,
30419,6.396135,4.592865,3.0,
30438,6.399195,-52.69566,3.0,
30867,6.480297,-7.033061999999998,3.0,
30883,6.482719,20.212133,3.0,
31416,6.5842740000000015,-22.964793,3.0,
31592,6.6113990000000005,-19.255879,3.0,
31681,6.628528,16.399252,3.0,
31685,6.629353,-43.195934,3.0,
32246,6.732202,25.131124,3.0,
32349,6.752481,-16.716116,3.0,
32362,6.754824,12.895591,3.0,
32607,6.803194,-61.941391,3.0,
32759,6.8306830000000005,-32.508478000000004,3.0,
32768,6.8322660000000015,-50.61456,3.0,
33018,6.879816,33.961254,3.0,
33160,6.903167,-12.038628,3.0,
33165,6.903623,-23.928336,3.0,
33347,6.935617999999999,-17.054242000000002,3.0,
33449,6.954611999999999,58.422759,3.0,
33579,6.9770970000000005,-28.972084,3.0,
33856,7.028652,-27.93483,3.0,
33977,7.050408999999998,-23.833291,3.0,
34045,7.062637,-15.633285999999998,3.0,
34088,7.0684809999999985,20.570297,3.0,
34444,7.139857000000001,-26.3932,3.0,
34481,7.1457880000000005,-70.498932,3.0,
34693,7.1856589999999985,30.245163,3.0,
34769,7.197739,-0.492764,3.0,
35037,7.246849,-26.772667,3.0,
35228,7.280508,-67.95715200000001,3.0,
35264,7.285711,-37.09747,3.0,
35350,7.30155,16.540383,3.0,
35550,7.335383,21.98232,3.0,
35904,7.401584,-29.303104,3.0,
36046,7.428779,27.79808,3.0,
36145,7.445237,49.211527,3.0,
36188,7.452512,8.289315,3.0,
36377,7.4871789999999985,-43.301432,3.0,
36850,7.5766339999999985,31.888276,3.0,
36962,7.598708,26.895741,3.0,
37279,7.655033,5.224993,3.0,
37447,7.687454,-9.551131,3.0,
37504,7.697004,-72.606098,3.0,
37740,7.740792999999999,24.397993,3.0,
37826,7.755277,28.026199,3.0,
38146,7.817132000000001,-24.912208,3.0,
39429,8.059737,-40.003148,3.0,
39757,8.125736999999999,-24.304324,3.0,
39794,8.132173,-68.617062,3.0,
39863,8.143236,-2.9837860000000003,3.0,
39953,8.158876,-47.336588,3.0,
40526,8.275256,9.185545,3.0,
40702,8.308703,-76.919722,3.0,
40843,8.334406,27.217707,3.0,
41037,8.375236,-59.509483,3.0,
41075,8.380588000000001,43.188131,3.0,
41312,8.428951,-66.13689000000001,3.0,
41704,8.504431,60.718169,3.0,
42313,8.627602,5.703782,3.0,
42402,8.645955,3.341435,3.0,
42515,8.668372999999999,-35.308352,3.0,
42536,8.671553999999999,-52.921887,3.0,
42568,8.676953,-59.761003,3.0,
42799,8.720410000000001,3.3986620000000003,3.0,
42806,8.721430999999999,21.468501,3.0,
42828,8.726539,-33.186384999999994,3.0,
42911,8.74475,18.154309,3.0,
42913,8.745059,-54.70882099999999,3.0,
43103,8.778284,28.759898,3.0,
43109,8.779587,6.418809,3.0,
43234,8.807214,5.837812,3.0,
43409,8.842203999999997,-27.709844,3.0,
43813,8.92323,5.945563,3.0,
44066,8.974784,11.857701,3.0,
44127,8.986828,48.041826,3.0,
44248,9.010685,41.782911,3.0,
44382,9.040777,-66.39607600000001,3.0,
44471,9.060427,47.156525,3.0,
44700,9.108825,38.452215,3.0,
44816,9.133268,-43.432589,3.0,
45080,9.182804,-58.966896,3.0,
45238,9.220041,-69.717208,3.0,
45336,9.239405,2.31428,3.0,
45556,9.284838,-59.275229,3.0,
45688,9.314069,36.802597,3.0,
45860,9.350925,34.392562,3.0,
45941,9.368562,-55.010668,3.0,
46390,9.45979,-8.658603,3.0,
46509,9.485805,-2.768964,3.0,
46651,9.511674,-40.466769,3.0,
46733,9.525453,63.061861,3.0,
46776,9.533036,-1.184664,3.0,
46853,9.547715,51.6773,3.0,
46952,9.570384,36.397558,3.0,
47908,9.764188,23.774255,3.0,
48319,9.849867,59.038735,3.0,
48356,9.85797,-14.846603,3.0,
48402,9.868433,54.06433199999999,3.0,
48455,9.879398,26.006951,3.0,
48774,9.947708,-54.56779,3.0,
48926,9.981191,-35.89097299999999,3.0,
49583,10.122209,16.762664,3.0,
49593,10.123821,35.244693,3.0,
49641,10.1323,-0.371637,3.0,
49669,10.139532,11.967207,3.0,
49841,10.176467,-12.354083,3.0,
50099,10.228961,-70.037903,3.0,
50191,10.245607,-42.121942,3.0,
50335,10.278171,23.417311,3.0,
50371,10.28472,-61.332304,3.0,
50372,10.284952,42.914365,3.0,
50583,10.332873,19.841489000000006,3.0,
50801,10.372155,41.499516,3.0,
51069,10.434842,-16.836289999999998,3.0,
51172,10.45253,-31.067779,3.0,
51232,10.464649,-58.739403,3.0,
51233,10.464727,36.707212,3.0,
51437,10.504855,-0.637026,3.0,
51839,10.591166,-78.607786,3.0,
51986,10.621717,-48.22562,3.0,
52419,10.715949,-64.39445,3.0,
52468,10.725639,-60.566619,3.0,
52727,10.779488,-49.420255,3.0,
52943,10.827079,-16.193648,3.0,
53229,10.888526,34.214871,3.0,
53253,10.891559,-58.853171,3.0,
53740,10.996244,-18.298783,3.0,
53910,11.030677,56.382427,3.0,
54061,11.062155,61.75103299999999,3.0,
54463,11.143165,-58.975037,3.0,
54539,11.161062,44.498487,3.0,
54682,11.194302,-22.825847,3.0,
54872,11.235138,20.523717,3.0,
54879,11.237335,15.429570000000002,3.0,
55282,11.322347,-14.778541,3.0,
55687,11.410164,-10.859323,3.0,
55705,11.414702,-17.68401,3.0,
56211,11.523407,69.331076,3.0,
56343,11.550038,-31.857625,3.0,
56480,11.579355,-54.264091,3.0,
56561,11.596363,-63.01984100000001,3.0,
56633,11.611365,-9.802247,3.0,
57283,11.746049,-18.350674,3.0,
57363,11.760141,-66.728763,3.0,
57380,11.764322,6.529376,3.0,
57399,11.767515,47.779406,3.0,
57632,11.817663,14.57206,3.0,
57936,11.881813,-33.908124,3.0,
58001,11.897168,53.69476,3.0,
58188,11.933599,-17.150829,3.0,
59196,12.13931,-50.722425,3.0,
59199,12.140225,-24.728875,3.0,
59316,12.168746,-22.619766,3.0,
59747,12.252427,-58.748928,3.0,
59774,12.257086,57.032617,3.0,
59803,12.263437,-17.541929,3.0,
60000,12.305812,-79.31224,3.0,
60030,12.311199,-0.787184,3.0,
60718,12.443311,-63.09909200000001,3.0,
60742,12.448966,28.268423,3.0,
60823,12.467331,-50.230635,3.0,
60965,12.497739,-16.515432,3.0,
61084,12.519429,-57.113212,3.0,
61174,12.53451,-16.196007,3.0,
61199,12.541134,-72.132988,3.0,
61281,12.558058,69.788238,3.0,
61317,12.562411,41.35748,3.0,
61359,12.573121,-23.396759,3.0,
61585,12.619739,-69.135564,3.0,
61932,12.691971,-48.959888,3.0,
61941,12.694345,-1.449375,3.0,
62322,12.771346,-68.10811899999999,3.0,
62434,12.795359,-59.688764,3.0,
62956,12.900472,55.959821,3.0,
63090,12.926725,3.39747,3.0,
63125,12.933807,38.31838,3.0,
63608,13.036278,10.95915,3.0,
64166,13.150909,-23.11807,3.0,
64241,13.166469,17.529431,3.0,
64394,13.197904,27.878183,3.0,
64962,13.315359,-23.171512,3.0,
65109,13.343296,-36.71229500000001,3.0,
65378,13.398747,54.925362,3.0,
65474,13.419883,-11.161322,3.0,
65936,13.517404999999998,-39.407307,3.0,
66249,13.578220000000002,-0.59582,3.0,
66657,13.664796,-53.466394,3.0,
67301,13.792354,49.313265,3.0,
67459,13.824623,15.797904999999998,3.0,
67464,13.825078,-41.68770900000001,3.0,
67472,13.826943,-42.473732,3.0,
67927,13.911411,18.397717,3.0,
68002,13.925667,-47.288375,3.0,
68282,13.977987,-44.803584,3.0,
68520,14.027443,1.544532,3.0,
68702,14.063729,-60.373039,3.0,
68756,14.073165,64.37585,3.0,
68933,14.111395000000002,-36.369954,3.0,
69427,14.214929,-10.273702,3.0,
69673,14.261029999999998,19.18241,3.0,
69701,14.266908,-6.000547,3.0,
70576,14.436336,-45.379276,3.0,
70638,14.448801,-83.667884,3.0,
71053,14.5305,30.371437,3.0,
71075,14.534636,38.308253,3.0,
71352,14.591786,-42.157824,3.0,
71536,14.631454000000002,-49.425828,3.0,
71683,14.660765,-60.833976,3.0,
71795,14.68582,13.7283,3.0,
71860,14.698823,-47.3882,3.0,
71908,14.708492,-64.975138,3.0,
71957,14.717673,-5.658207,3.0,
72105,14.749784,27.074222,3.0,
72220,14.770812,1.892885,3.0,
72370,14.797701000000002,-79.044751,3.0,
72607,14.845104999999998,74.155505,3.0,
72622,14.847976999999998,-16.041778,3.0,
73273,14.975537,-43.13396,3.0,
73334,14.986025,-42.104194,3.0,
73555,15.032436,40.390566,3.0,
73714,15.067839,-25.281965,3.0,
74395,15.20476,-52.099247,3.0,
74666,15.258376,33.314833,3.0,
74785,15.283449,-9.382917,3.0,
74824,15.291917000000002,-58.801208,3.0,
74946,15.315181,-68.67954499999999,3.0,
75097,15.345482999999998,71.834016,3.0,
75141,15.356201,-40.647518,3.0,
75177,15.36344,-36.261376,3.0,
75323,15.389625,-59.320787,3.0,
75458,15.415494,58.966065,3.0,
75695,15.463818,29.105703,3.0,
76127,15.548829,31.359133,3.0,
76267,15.578128,26.714693,3.0,
76276,15.580041,10.538867,3.0,
76297,15.585681,-41.166757,3.0,
76333,15.592104999999998,-14.789537,3.0,
76552,15.634232,-42.567348,3.0,
76952,15.712381,26.295637,3.0,
77055,15.734298999999998,77.794493,3.0,
77070,15.737798000000002,6.425627,3.0,
77233,15.769793,15.421826,3.0,
77450,15.812327,18.141564,3.0,
77512,15.826570000000002,26.068394,3.0,
77516,15.827001999999998,-3.4302080000000004,3.0,
77622,15.846935,4.47773,3.0,
77634,15.849316,-33.627165000000005,3.0,
77760,15.877903,42.451518,3.0,
77853,15.897093,-16.729293,3.0,
